time,Wiener,Volterra
0.188,-0.000788151,0.00409625
0.189,-0.069633,0.00330284
0.19,-0.0801352,0.000776214
0.191,-0.106592,-0.000730685
0.192,-0.106312,-0.00262964
0.193,-0.117411,-0.0038626
0.194,-0.107063,-0.00526565
0.195,-0.0844753,-0.00601967
0.196,-0.0314086,-0.0061334
0.197,-0.00972507,-0.00493668
0.198,0.0062393,-0.00405896
0.199,-0.0290144,-0.00323444
0.2,-0.0455955,-0.00395742
0.201,-0.0831148,-0.00467307
0.202,-0.052856,-0.00623035
0.203,-0.0759554,-0.00607516
0.204,-0.0111626,-0.00706677
0.205,-0.0848361,-0.00559589
0.206,-0.0715655,-0.00758107
0.207,-0.142777,-0.00793592
0.208,-0.0977449,-0.0106354
0.209,-0.0856937,-0.0105572
0.21,-0.0850726,-0.0106887
0.211,-0.0891099,-0.0110278
0.212,-0.141129,-0.0115252
0.213,-0.15469,-0.0135937
0.214,-0.178127,-0.0151095
0.215,-0.189223,-0.0169423
0.216,-0.240467,-0.018556
0.217,-0.255469,-0.0214279
0.218,-0.243425,-0.0236928
0.219,-0.217067,-0.025054
0.22,-0.224239,-0.0256117
0.221,-0.218162,-0.0267927
0.222,-0.265015,-0.0276523
0.223,-0.331356,-0.0300621
0.224,-0.347717,-0.0336818
0.225,-0.379177,-0.0364221
0.226,-0.394278,-0.0395528
0.227,-0.387581,-0.0423525
0.228,-0.361476,-0.044416
0.229,-0.369118,-0.0455719
0.23,-0.356573,-0.0473305
0.231,-0.350927,-0.048531
0.232,-0.297189,-0.0497208
0.233,-0.290242,-0.0492986
0.234,-0.310364,-0.0496394
0.235,-0.27519,-0.050886
0.236,-0.28218,-0.0507279
0.237,-0.249943,-0.0514202
0.238,-0.343172,-0.0510593
0.239,-0.309582,-0.0542675
0.24,-0.286468,-0.0547985
0.241,-0.234358,-0.0549946
0.242,-0.226745,-0.0539618
0.243,-0.207482,-0.053706
0.244,-0.195256,-0.0531601
0.245,-0.21248,-0.0526972
0.246,-0.235012,-0.0531306
0.247,-0.167349,-0.0540691
0.248,-0.12936,-0.0524676
0.249,-0.143306,-0.050871
0.25,-0.149857,-0.0506086
0.251,-0.120547,-0.0505103
0.252,-0.153587,-0.0494459
0.253,-0.170685,-0.0500121
0.254,-0.134062,-0.0506344
0.255,-0.126915,-0.0497593
0.256,-0.0918865,-0.0492885
0.257,-0.0926439,-0.0479373
0.258,-0.0777361,-0.0473324
0.259,-0.0940249,-0.0463959
0.26,-0.0780163,-0.0463379
0.261,-0.0854745,-0.0455784
0.262,-0.0909939,-0.0453715
0.263,-0.122736,-0.045276
0.264,-0.150654,-0.0461092
0.265,-0.109867,-0.0472468
0.266,-0.160026,-0.0464954
0.267,-0.147065,-0.0479657
0.268,-0.160266,-0.0481595
0.269,-0.180368,-0.0488847
0.27,-0.165619,-0.0499774
0.271,-0.129672,-0.0501725
0.272,-0.135598,-0.0494083
0.273,-0.137252,-0.0494871
0.274,-0.138565,-0.0496037
0.275,-0.137252,-0.049757
0.276,-0.0799123,-0.0498555
0.277,-0.0890132,-0.0481691
0.278,-0.104192,-0.0478404
0.279,-0.126624,-0.048003
0.28,-0.131833,-0.0486602
0.281,-0.139804,-0.0490668
0.282,-0.146229,-0.0495708
0.283,-0.157629,-0.0500904
0.284,-0.177242,-0.0508067
0.285,-0.202751,-0.051888
0.286,-0.21185,-0.0533521
0.287,-0.191663,-0.0545365
0.288,-0.160974,-0.0547813
0.289,-0.149417,-0.0543242
0.29,-0.183695,-0.054064
0.291,-0.2367,-0.0551783
0.292,-0.261837,-0.0574001
0.293,-0.237476,-0.0593639
0.294,-0.187403,-0.0598955
0.295,-0.213691,-0.0591127
0.296,-0.20264,-0.0600537
0.297,-0.224522,-0.0602733
0.298,-0.27499,-0.0613556
0.299,-0.256459,-0.0636433
0.3,-0.294553,-0.064346
0.301,-0.323025,-0.066407
0.302,-0.313901,-0.0686141
0.303,-0.313,-0.0698479
0.304,-0.3445,-0.0710416
0.305,-0.355511,-0.0731645
0.306,-0.370709,-0.0749895
0.307,-0.383649,-0.076944
0.308,-0.376475,-0.0789004
0.309,-0.346027,-0.0802587
0.31,-0.29538,-0.0806588
0.311,-0.280508,-0.0799549
0.312,-0.31469,-0.0797552
0.313,-0.333088,-0.0810662
0.314,-0.334721,-0.0824404
0.315,-0.292828,-0.0834814
0.316,-0.294602,-0.0830929
0.317,-0.334153,-0.0834905
0.318,-0.254682,-0.0852025
0.319,-0.26228,-0.0837053
0.32,-0.253968,-0.0838196
0.321,-0.265072,-0.0837211
0.322,-0.280762,-0.0841961
0.323,-0.337591,-0.0850299
0.324,-0.403467,-0.0873784
0.325,-0.384055,-0.090721
0.326,-0.308064,-0.0920413
0.327,-0.299862,-0.0910198
0.328,-0.351624,-0.0910394
0.329,-0.34486,-0.0929992
0.33,-0.345567,-0.0938694
0.331,-0.404616,-0.0947701
0.332,-0.399734,-0.0974863
0.333,-0.445564,-0.0989236
0.334,-0.47167,-0.101697
0.335,-0.479321,-0.10435
0.336,-0.510111,-0.106552
0.337,-0.478481,-0.109383
0.338,-0.497034,-0.110491
0.339,-0.515079,-0.112572
0.34,-0.524883,-0.114846
0.341,-0.492417,-0.116994
0.342,-0.505118,-0.117805
0.343,-0.536232,-0.119502
0.344,-0.518721,-0.121963
0.345,-0.542851,-0.123241
0.346,-0.548524,-0.125469
0.347,-0.537154,-0.127398
0.348,-0.53411,-0.128753
0.349,-0.465972,-0.130132
0.35,-0.44727,-0.129384
0.351,-0.497914,-0.129282
0.352,-0.461476,-0.131309
0.353,-0.465258,-0.131383
0.354,-0.484781,-0.132171
0.355,-0.447533,-0.133582
0.356,-0.455471,-0.133476
0.357,-0.450667,-0.134265
0.358,-0.387211,-0.134846
0.359,-0.350012,-0.133527
0.36,-0.367257,-0.132234
0.361,-0.376909,-0.132384
0.362,-0.365277,-0.132743
0.363,-0.422385,-0.13263
0.364,-0.404675,-0.134569
0.365,-0.448053,-0.134955
0.366,-0.429426,-0.136911
0.367,-0.391343,-0.137472
0.368,-0.379716,-0.137037
0.369,-0.387604,-0.136927
0.37,-0.440365,-0.137383
0.371,-0.47035,-0.139444
0.372,-0.505458,-0.141498
0.373,-0.540665,-0.143964
0.374,-0.553605,-0.146732
0.375,-0.556394,-0.14906
0.376,-0.562239,-0.151015
0.377,-0.53715,-0.152928
0.378,-0.513231,-0.153817
0.379,-0.48168,-0.154308
0.38,-0.393861,-0.154243
0.381,-0.394667,-0.152035
0.382,-0.383762,-0.151589
0.383,-0.367332,-0.1511
0.384,-0.384925,-0.150454
0.385,-0.352766,-0.150804
0.386,-0.362243,-0.149948
0.387,-0.357439,-0.150021
0.388,-0.339562,-0.1499
0.389,-0.338704,-0.149354
0.39,-0.336657,-0.149169
0.391,-0.314202,-0.149031
0.392,-0.357766,-0.148285
0.393,-0.368313,-0.149384
0.394,-0.359781,-0.150118
0.395,-0.391872,-0.150321
0.396,-0.406899,-0.151644
0.397,-0.427578,-0.15285
0.398,-0.379784,-0.154337
0.399,-0.370277,-0.153836
0.4,-0.341345,-0.153805
0.401,-0.275876,-0.153113
0.402,-0.271925,-0.150947
0.403,-0.259952,-0.149986
0.404,-0.240369,-0.148984
0.405,-0.221707,-0.147741
0.406,-0.24036,-0.146409
0.407,-0.324065,-0.146165
0.408,-0.335859,-0.148378
0.409,-0.354479,-0.149459
0.41,-0.361966,-0.150703
0.411,-0.334681,-0.151712
0.412,-0.377012,-0.151595
0.413,-0.362851,-0.153229
0.414,-0.403716,-0.153658
0.415,-0.363739,-0.155516
0.416,-0.382154,-0.155329
0.417,-0.345058,-0.156318
0.418,-0.371012,-0.155833
0.419,-0.435119,-0.156806
0.42,-0.411547,-0.15941
0.421,-0.35437,-0.160038
0.422,-0.312836,-0.159079
0.423,-0.345566,-0.157822
0.424,-0.362573,-0.158506
0.425,-0.324727,-0.159309
0.426,-0.315442,-0.158598
0.427,-0.304053,-0.158253
0.428,-0.314682,-0.157818
0.429,-0.343284,-0.15801
0.43,-0.343954,-0.158992
0.431,-0.357698,-0.159484
0.432,-0.353548,-0.16033
0.433,-0.410199,-0.16076
0.434,-0.415956,-0.163
0.435,-0.417332,-0.164354
0.436,-0.44907,-0.165459
0.437,-0.431534,-0.167427
0.438,-0.460723,-0.168174
0.439,-0.509046,-0.170018
0.44,-0.50686,-0.172813
0.441,-0.508122,-0.174517
0.442,-0.522632,-0.176078
0.443,-0.571955,-0.177949
0.444,-0.567335,-0.181018
0.445,-0.526734,-0.182913
0.446,-0.481443,-0.183381
0.447,-0.492459,-0.183044
0.448,-0.510174,-0.183926
0.449,-0.474624,-0.185295
0.45,-0.435944,-0.18523
0.451,-0.478021,-0.184555
0.452,-0.447241,-0.186007
0.453,-0.438972,-0.18586
0.454,-0.428607,-0.185971
0.455,-0.458041,-0.185983
0.456,-0.48698,-0.187181
0.457,-0.456388,-0.188817
0.458,-0.423952,-0.1889
0.459,-0.413933,-0.188416
0.46,-0.432618,-0.188253
0.461,-0.439599,-0.188977
0.462,-0.462457,-0.189663
0.463,-0.464929,-0.190937
0.464,-0.496388,-0.191847
0.465,-0.51062,-0.193632
0.466,-0.47318,-0.195238
0.467,-0.449611,-0.195273
0.468,-0.404502,-0.195143
0.469,-0.435038,-0.194069
0.47,-0.471257,-0.194879
0.471,-0.495543,-0.196444
0.472,-0.501287,-0.198105
0.473,-0.479022,-0.199397
0.474,-0.497655,-0.199758
0.475,-0.510017,-0.201035
0.476,-0.547122,-0.202374
0.477,-0.494841,-0.204597
0.478,-0.487992,-0.204406
0.479,-0.491439,-0.204808
0.48,-0.532368,-0.205514
0.481,-0.555589,-0.20749
0.482,-0.57152,-0.209448
0.483,-0.572283,-0.211355
0.484,-0.532929,-0.212855
0.485,-0.511783,-0.212967
0.486,-0.522769,-0.213055
0.487,-0.48596,-0.213942
0.488,-0.497988,-0.213541
0.489,-0.534812,-0.214204
0.49,-0.550707,-0.215922
0.491,-0.592895,-0.21748
0.492,-0.592878,-0.21998
0.493,-0.599739,-0.221601
0.494,-0.624435,-0.223256
0.495,-0.647109,-0.22546
0.496,-0.62543,-0.227832
0.497,-0.641025,-0.228959
0.498,-0.574638,-0.230824
0.499,-0.621911,-0.230266
0.5,-0.643895,-0.232346
0.501,-0.63209,-0.234388
0.502,-0.61657,-0.235562
0.503,-0.60615,-0.23635
0.504,-0.601478,-0.237063
0.505,-0.608962,-0.237837
0.506,-0.591974,-0.238964
0.507,-0.611594,-0.239437
0.508,-0.621329,-0.24083
0.509,-0.644489,-0.242209
0.51,-0.59917,-0.244097
0.511,-0.611694,-0.244069
0.512,-0.597441,-0.245175
0.513,-0.576417,-0.245677
0.514,-0.554628,-0.245768
0.515,-0.544086,-0.245597
0.516,-0.612779,-0.245576
0.517,-0.608913,-0.24803
0.518,-0.557691,-0.24918
0.519,-0.669366,-0.248626
0.52,-0.67408,-0.252494
0.521,-0.656654,-0.254561
0.522,-0.652575,-0.255705
0.523,-0.639388,-0.256886
0.524,-0.612006,-0.257679
0.525,-0.660121,-0.257821
0.526,-0.681524,-0.260004
0.527,-0.725255,-0.26205
0.528,-0.704795,-0.26497
0.529,-0.668773,-0.266309
0.53,-0.72257,-0.266682
0.531,-0.698644,-0.269365
0.532,-0.69425,-0.270353
0.533,-0.695974,-0.271495
0.534,-0.657473,-0.272761
0.535,-0.631414,-0.27277
0.536,-0.609387,-0.272648
0.537,-0.6529,-0.27241
0.538,-0.671393,-0.274078
0.539,-0.674744,-0.275656
0.54,-0.690181,-0.276938
0.541,-0.725437,-0.278569
0.542,-0.798488,-0.280978
0.543,-0.825337,-0.284966
0.544,-0.745489,-0.288296
0.545,-0.705246,-0.288293
0.546,-0.700495,-0.288238
0.547,-0.670379,-0.28886
0.548,-0.660601,-0.28875
0.549,-0.639561,-0.288958
0.55,-0.670768,-0.288807
0.551,-0.655467,-0.290127
0.552,-0.670077,-0.290504
0.553,-0.631855,-0.291599
0.554,-0.639181,-0.291257
0.555,-0.673762,-0.291836
0.556,-0.67212,-0.293482
0.557,-0.677077,-0.294472
0.558,-0.664944,-0.295568
0.559,-0.615214,-0.296158
0.56,-0.64177,-0.295367
0.561,-0.665743,-0.296354
0.562,-0.625558,-0.297764
0.563,-0.607792,-0.297458
0.564,-0.629911,-0.29727
0.565,-0.647606,-0.298203
0.566,-0.621363,-0.299386
0.567,-0.62018,-0.299401
0.568,-0.633315,-0.299813
0.569,-0.603684,-0.30072
0.57,-0.576452,-0.300479
0.571,-0.549928,-0.299906
0.572,-0.505747,-0.299083
0.573,-0.486585,-0.297481
0.574,-0.5238,-0.296245
0.575,-0.582577,-0.296765
0.576,-0.546666,-0.298646
0.577,-0.583506,-0.298309
0.578,-0.586437,-0.299653
0.579,-0.634434,-0.300453
0.58,-0.599635,-0.302629
0.581,-0.574106,-0.302767
0.582,-0.525729,-0.302569
0.583,-0.532343,-0.301329
0.584,-0.538296,-0.301269
0.585,-0.542435,-0.301456
0.586,-0.504023,-0.30174
0.587,-0.432829,-0.300766
0.588,-0.50697,-0.298267
0.589,-0.539333,-0.299566
0.59,-0.574191,-0.300807
0.591,-0.566315,-0.302489
0.592,-0.621321,-0.303171
0.593,-0.570597,-0.305589
0.594,-0.574662,-0.305331
0.595,-0.602768,-0.305939
0.596,-0.610391,-0.307405
0.597,-0.654072,-0.308588
0.598,-0.679892,-0.310918
0.599,-0.707247,-0.313182
0.6,-0.757881,-0.315654
0.601,-0.777209,-0.319039
0.602,-0.7647,-0.321904
0.603,-0.760768,-0.323741
0.604,-0.793208,-0.325461
0.605,-0.794474,-0.32817
0.606,-0.803523,-0.33024
0.607,-0.767759,-0.332409
0.608,-0.754902,-0.333167
0.609,-0.81276,-0.334071
0.61,-0.822416,-0.33707
0.611,-0.804824,-0.339334
0.612,-0.819844,-0.340689
0.613,-0.800978,-0.342717
0.614,-0.809772,-0.343838
0.615,-0.782742,-0.345504
0.616,-0.772816,-0.346152
0.617,-0.734179,-0.346943
0.618,-0.761104,-0.346744
0.619,-0.76082,-0.348156
0.62,-0.795797,-0.349194
0.621,-0.788657,-0.351328
0.622,-0.757322,-0.352586
0.623,-0.715519,-0.352876
0.624,-0.693254,-0.352389
0.625,-0.689801,-0.352039
0.626,-0.729171,-0.352147
0.627,-0.737586,-0.353711
0.628,-0.756141,-0.354905
0.629,-0.787267,-0.356471
0.63,-0.79684,-0.358631
0.631,-0.753209,-0.360439
0.632,-0.75899,-0.360553
0.633,-0.753699,-0.361553
0.634,-0.74562,-0.362344
0.635,-0.785796,-0.362983
0.636,-0.786561,-0.365055
0.637,-0.785312,-0.366437
0.638,-0.806605,-0.367656
0.639,-0.819516,-0.369512
0.64,-0.82907,-0.371348
0.641,-0.845099,-0.373155
0.642,-0.89708,-0.375197
0.643,-0.905039,-0.378499
0.644,-0.90441,-0.380981
0.645,-0.928982,-0.383069
0.646,-0.926076,-0.385788
0.647,-0.910773,-0.387856
0.648,-0.910546,-0.389341
0.649,-0.880327,-0.391011
0.65,-0.86827,-0.391705
0.651,-0.918858,-0.392544
0.652,-0.866953,-0.395266
0.653,-0.83857,-0.395462
0.654,-0.808628,-0.395589
0.655,-0.807748,-0.395382
0.656,-0.828305,-0.395819
0.657,-0.857519,-0.397073
0.658,-0.873698,-0.398953
0.659,-0.936275,-0.400793
0.66,-0.894352,-0.404226
0.661,-0.886553,-0.405084
0.662,-0.922745,-0.40623
0.663,-0.94663,-0.408659
0.664,-0.920589,-0.411174
0.665,-0.90524,-0.412302
0.666,-0.89463,-0.413283
0.667,-0.893502,-0.414205
0.668,-0.863249,-0.415313
0.669,-0.912816,-0.415519
0.67,-0.918908,-0.417867
0.671,-0.935446,-0.419585
0.672,-0.931863,-0.421609
0.673,-0.935152,-0.423144
0.674,-0.921102,-0.424755
0.675,-0.873341,-0.425815
0.676,-0.813847,-0.42558
0.677,-0.838726,-0.424357
0.678,-0.841729,-0.425163
0.679,-0.823596,-0.425852
0.68,-0.79936,-0.425967
0.681,-0.790404,-0.425687
0.682,-0.810937,-0.425657
0.683,-0.804311,-0.426567
0.684,-0.74225,-0.426987
0.685,-0.775031,-0.425571
0.686,-0.746217,-0.426375
0.687,-0.714246,-0.425876
0.688,-0.740363,-0.424918
0.689,-0.741169,-0.425493
0.69,-0.737118,-0.425778
0.691,-0.753283,-0.425942
0.692,-0.675112,-0.42672
0.693,-0.703092,-0.424766
0.694,-0.703537,-0.425126
0.695,-0.735156,-0.42522
0.696,-0.71234,-0.42635
0.697,-0.744627,-0.426212
0.698,-0.733192,-0.427456
0.699,-0.764816,-0.42779
0.7,-0.762551,-0.429266
0.701,-0.787525,-0.430092
0.702,-0.788708,-0.431656
0.703,-0.783928,-0.432756
0.704,-0.805445,-0.433584
0.705,-0.810183,-0.435121
0.706,-0.823767,-0.436387
0.707,-0.858464,-0.437909
0.708,-0.871898,-0.440213
0.709,-0.804876,-0.442217
0.71,-0.827808,-0.441694
0.711,-0.824347,-0.443006
0.712,-0.81318,-0.443903
0.713,-0.803291,-0.444485
0.714,-0.784849,-0.444957
0.715,-0.800821,-0.445054
0.716,-0.748971,-0.446037
0.717,-0.767337,-0.44516
0.718,-0.788554,-0.445814
0.719,-0.849339,-0.446957
0.72,-0.802906,-0.449654
0.721,-0.822733,-0.449717
0.722,-0.831034,-0.451066
0.723,-0.811374,-0.45235
0.724,-0.831189,-0.452806
0.725,-0.883407,-0.454197
0.726,-0.877295,-0.456899
0.727,-0.840335,-0.458386
0.728,-0.813569,-0.458628
0.729,-0.800147,-0.458623
0.73,-0.795134,-0.458743
0.731,-0.789269,-0.459049
0.732,-0.804,-0.459347
0.733,-0.789335,-0.460281
0.734,-0.748341,-0.460533
0.735,-0.809506,-0.459748
0.736,-0.840278,-0.461702
0.737,-0.857707,-0.463645
0.738,-0.891629,-0.465465
0.739,-0.892272,-0.467899
0.74,-0.899415,-0.4696
0.741,-0.88242,-0.471338
0.742,-0.932128,-0.472303
0.743,-0.96521,-0.47506
0.744,-0.957279,-0.477931
0.745,-0.940325,-0.479764
0.746,-0.938833,-0.481008
0.747,-0.965531,-0.48242
0.748,-0.971703,-0.484681
0.749,-0.955874,-0.486615
0.75,-0.971231,-0.487824
0.751,-0.973413,-0.489724
0.752,-0.98771,-0.491396
0.753,-0.948435,-0.49341
0.754,-0.952856,-0.493862
0.755,-0.923635,-0.495098
0.756,-0.909242,-0.49539
0.757,-0.894046,-0.495774
0.758,-0.911252,-0.496031
0.759,-0.902728,-0.497196
0.76,-0.881278,-0.497862
0.761,-0.859946,-0.498007
0.762,-0.832264,-0.497904
