time,Wiener,Volterra
0.851,-0.683347,-0.521364
0.852,-0.682061,-0.520255
0.853,-0.687704,-0.519952
0.854,-0.664881,-0.520018
0.855,-0.667795,-0.519352
0.856,-0.640834,-0.519246
0.857,-0.623725,-0.518339
0.858,-0.62861,-0.517446
0.859,-0.6434,-0.517149
0.86,-0.633403,-0.517356
0.861,-0.610921,-0.517039
0.862,-0.587971,-0.516202
0.863,-0.594692,-0.515104
0.864,-0.556376,-0.514747
0.865,-0.580952,-0.513187
0.866,-0.583036,-0.513176
0.867,-0.56046,-0.512942
0.868,-0.577918,-0.51198
0.869,-0.578404,-0.512016
0.87,-0.596058,-0.51184
0.871,-0.58508,-0.512222
0.872,-0.607928,-0.511947
0.873,-0.612314,-0.512563
0.874,-0.629696,-0.512918
0.875,-0.637715,-0.51369
0.876,-0.617835,-0.514358
0.877,-0.638973,-0.514179
0.878,-0.641933,-0.514977
0.879,-0.630948,-0.515503
0.88,-0.599123,-0.515571
0.881,-0.549461,-0.5148
0.882,-0.521976,-0.513059
0.883,-0.505941,-0.511468
0.884,-0.545893,-0.510081
0.885,-0.536276,-0.510448
0.886,-0.532171,-0.509937
0.887,-0.534462,-0.509459
0.888,-0.498343,-0.509172
0.889,-0.500982,-0.507748
0.89,-0.433491,-0.507105
0.891,-0.427852,-0.504415
0.892,-0.434883,-0.502869
0.893,-0.46412,-0.501908
0.894,-0.432815,-0.501906
0.895,-0.443217,-0.500462
0.896,-0.45177,-0.49991
0.897,-0.479858,-0.499544
0.898,-0.470705,-0.499946
0.899,-0.454388,-0.499548
0.9,-0.414508,-0.498737
0.901,-0.422874,-0.496972
0.902,-0.424147,-0.496267
0.903,-0.404987,-0.495603
0.904,-0.448306,-0.494374
0.905,-0.391848,-0.494914
0.906,-0.408722,-0.492962
0.907,-0.420564,-0.492519
0.908,-0.440294,-0.492289
0.909,-0.419994,-0.492495
0.91,-0.473744,-0.491689
0.911,-0.496132,-0.492908
0.912,-0.50442,-0.493883
0.913,-0.491774,-0.494567
0.914,-0.5294,-0.494564
0.915,-0.504366,-0.495889
0.916,-0.534056,-0.495704
0.917,-0.556934,-0.496787
0.918,-0.584105,-0.498046
0.919,-0.617926,-0.499639
0.92,-0.606798,-0.501672
0.921,-0.622017,-0.502568
0.922,-0.582827,-0.503953
0.923,-0.560439,-0.503732
0.924,-0.52788,-0.503416
0.925,-0.48268,-0.502529
0.926,-0.482508,-0.500888
0.927,-0.447859,-0.500208
0.928,-0.445936,-0.498638
0.929,-0.420543,-0.497759
0.93,-0.415158,-0.49629
0.931,-0.449734,-0.495232
0.932,-0.480078,-0.495521
0.933,-0.458946,-0.496241
0.934,-0.428404,-0.495703
0.935,-0.41236,-0.494503
0.936,-0.416409,-0.493391
0.937,-0.409866,-0.492813
0.938,-0.450885,-0.492065
0.939,-0.469155,-0.49279
0.94,-0.4252,-0.493396
0.941,-0.362155,-0.492194
0.942,-0.357742,-0.489726
0.943,-0.306201,-0.488379
0.944,-0.288583,-0.485722
0.945,-0.265164,-0.483606
0.946,-0.263217,-0.481326
0.947,-0.213402,-0.479621
0.948,-0.163656,-0.476582
0.949,-0.131346,-0.473033
0.95,-0.0919685,-0.469639
0.951,-0.147535,-0.46591
0.952,-0.115796,-0.464962
0.953,-0.129148,-0.462294
0.954,-0.115769,-0.460673
0.955,-0.135932,-0.458545
0.956,-0.150068,-0.457379
0.957,-0.151612,-0.456399
0.958,-0.206852,-0.455231
0.959,-0.224824,-0.455779
0.96,-0.225769,-0.455886
0.961,-0.189678,-0.455546
0.962,-0.154825,-0.453932
0.963,-0.165962,-0.451825
0.964,-0.145939,-0.450792
0.965,-0.165443,-0.449065
0.966,-0.17449,-0.448374
0.967,-0.142317,-0.447708
0.968,-0.121807,-0.445862
0.969,-0.0464524,-0.443953
0.97,-0.062679,-0.440146
0.971,-0.0826821,-0.438371
0.972,-0.066666,-0.437235
0.973,-0.087908,-0.435348
0.974,-0.0994056,-0.434465
0.975,-0.15331,-0.433645
0.976,-0.142342,-0.43432
0.977,-0.0806895,-0.433635
0.978,-0.108021,-0.431046
0.979,-0.133796,-0.430427
0.98,-0.129663,-0.430283
0.981,-0.182348,-0.429535
0.982,-0.189258,-0.430465
0.983,-0.194562,-0.430627
0.984,-0.199217,-0.430665
0.985,-0.233508,-0.430649
0.986,-0.192091,-0.431555
0.987,-0.23369,-0.430455
0.988,-0.247922,-0.431293
0.989,-0.2641,-0.431856
0.99,-0.313237,-0.43255
0.991,-0.300597,-0.434392
0.992,-0.228964,-0.43481
0.993,-0.237123,-0.432977
0.994,-0.26592,-0.43264
0.995,-0.262605,-0.433214
0.996,-0.225758,-0.433187
0.997,-0.181017,-0.431986
0.998,-0.20147,-0.430027
0.999,-0.176168,-0.429637
